000, 1
001, 1
002, 1
003, 4
004, 4
005, 4
006, 4
007, 4
008, 2
009, 2
010, 0
011, 2
012, 2
013, 2
014, 0
015, 1
016, 1
017, 1
018, 1
019, 1
020, 1
021, 1
022, 1
023, 0
024, 2
025, 2
026, 2
027, 0
028, 2
029, 2
030, 2
031, 2
032, 2
033, 3
034, 3
035, 3
036, 3
037, 0
038, 0
039, 0
040, 4
041, 4
042, 4
043, 4
044, 4
045, 4
046, 1
047, 1
048, 1
049, 1
050, 1
051, 1
052, 1
053, 0
054, 3
055, 3
056, 3
057, 3
058, 3
059, 3
060, 3
061, 3
062, 2
063, 2
064, 2
065, 2
066, 1
067, 1
068, 1
069, 3
070, 3
071, 3
072, 3
073, 2
074, 2
075, 2
076, 2
077, 2
078, 1
079, 2
080, 2
081, 2
082, 2
083, 2
084, 2
085, 1
086, 1
087, 1
088, 1
089, 1
090, 1
091, 1
092, 1
093, 0
094, 0
095, 0
096, 0
097, 0
098, 0
099, 1
100, 1
101, 1
102, 1
103, 1
104, 1
105, 1
106, 1
107, 1
108, 2
109, 2
110, 2
111, 2
112, 2
113, 2
114, 2
115, 2
116, 2
117, 2
118, 1
119, 1
120, 1
121, 2
122, 2
123, 2
124, 2
125, 1
126, 1
127, 1
128, 1
129, 1
130, 2
131, 2
132, 2
133, 2
134, 2
135, 0
136, 0
137, 0
138, 0
139, 0
140, 0
141, 0
142, 0
143, 0
144, 0
145, 0
146, 0
147, 3
148, 3
149, 3
150, 3
151, 3
152, 3
153, 3
154, 3
155, 3
156, 3
157, 3
158, 3
159, 3
160, 3
161, 3
162, 3
163, 3
164, 4
165, 4
166, 4
167, 4
168, 4
169, 4
170, 4
171, 4
172, 4
173, 4
174, 4
175, 4
176, 4
177, 4
178, 4
179, 4
180, 4
181, 4
182, 4
183, 4
184, 4
185, 4
186, 4
187, 4
188, 4
189, 4
190, 4
191, 4
192, 4
193, 3
194, 3
195, 3
196, 3
197, 0
198, 0
199, 0
200, 0
201, 0
202, 5
203, 5
204, 5
205, 5
206, 5
207, 5
208, 5
209, 5
210, 5
211, 5
212, 5
213, 5
214, 5
215, 5
216, 5
217, 5
218, 5
219, 5
220, 5
221, 5
222, 5
223, 5
224, 5
225, 5
226, 5
227, 5
228, 5
229, 5
230, 5
231, 5
232, 5
233, 5
234, 5
235, 5
236, 5
237, 5
238, 5
239, 5
240, 5
241, 5
242, 3
243, 3
244, 3
245, 0
246, 0
247, 0
